Experimento,tA,tM,archivos,tiempoA,tiempoM
Maximo,1,1,['letrasInicialUniforme.txt'],854.17,76.6033
Maximo,1,2,['letrasInicialUniforme.txt'],811.515,34.6425
Maximo,1,3,['letrasInicialUniforme.txt'],809.796,24.8237
Maximo,1,4,['letrasInicialUniforme.txt'],809.873,19.8604
Maximo,1,5,['letrasInicialUniforme.txt'],818.142,16.1022
Maximo,1,6,['letrasInicialUniforme.txt'],821.276,13.7141
Maximo,1,7,['letrasInicialUniforme.txt'],790.801,11.1998
Maximo,1,8,['letrasInicialUniforme.txt'],799.097,11.19
Maximo,1,9,['letrasInicialUniforme.txt'],789.938,8.85502
Maximo,1,10,['letrasInicialUniforme.txt'],799.12,8.75451
Maximo,1,11,['letrasInicialUniforme.txt'],799.785,8.99893
Maximo,1,12,['letrasInicialUniforme.txt'],788.198,9.50745
Maximo,1,13,['letrasInicialUniforme.txt'],788.692,6.52961
Maximo,1,14,['letrasInicialUniforme.txt'],798.348,6.44104
Maximo,1,15,['letrasInicialUniforme.txt'],799.253,6.52246
Maximo,1,16,['letrasInicialUniforme.txt'],796.097,7.11232
Maximo,1,17,['letrasInicialUniforme.txt'],806.445,6.94735
Maximo,1,18,['letrasInicialUniforme.txt'],805.609,7.00866
Maximo,1,19,['letrasInicialUniforme.txt'],790.047,7.02476
Maximo,1,20,['letrasInicialUniforme.txt'],801.496,6.88667
Maximo,1,21,['letrasInicialUniforme.txt'],817.965,7.14472
Maximo,1,22,['letrasInicialUniforme.txt'],808.743,7.07768
Maximo,1,23,['letrasInicialUniforme.txt'],806.318,7.03048
Maximo,1,24,['letrasInicialUniforme.txt'],802.241,6.99533
Maximo,1,25,['letrasInicialUniforme.txt'],800.035,6.92413
Maximo,1,26,['letrasInicialUniforme.txt'],802.955,6.98443
Maximo,1,27,['letrasInicialUniforme.txt'],812.596,7.11385
Maximo,1,28,['letrasInicialUniforme.txt'],803.712,6.9007
Maximo,1,29,['letrasInicialUniforme.txt'],795.633,6.9187
Maximo,1,30,['letrasInicialUniforme.txt'],789.48,7.00053
Maximo,1,31,['letrasInicialUniforme.txt'],797.812,7.01533
Maximo,1,32,['letrasInicialUniforme.txt'],791.419,7.01761
Maximo,1,33,['letrasInicialUniforme.txt'],807.7,6.98253
Maximo,1,34,['letrasInicialUniforme.txt'],789.449,6.91682
Maximo,1,35,['letrasInicialUniforme.txt'],808.526,7.13096
Maximo,1,36,['letrasInicialUniforme.txt'],791.743,6.99299
Maximo,1,37,['letrasInicialUniforme.txt'],796.876,7.09255
Maximo,1,38,['letrasInicialUniforme.txt'],792.419,6.93359
Maximo,1,39,['letrasInicialUniforme.txt'],796.35,7.02869
Maximo,1,40,['letrasInicialUniforme.txt'],797.571,7.05738
